S,B,latency,memory,energy,is_validation,oom
32,1,0.0007111090235412121,18763776,0.01970859985785359,False,False
32,2,0.00039563298923894763,18874368,0.024408623417721518,False,False
32,4,0.00039274198934435844,19095552,0.0252756183745583,False,False
32,8,0.0004045979876536876,19537920,0.02467718446601942,False,False
32,16,0.0004436770104803145,14843904,0.026877551020408164,False,False
32,32,0.0005745189846493304,15958016,0.03888799540493969,False,False
32,64,0.0007691489881835878,18186240,0.05668332052267487,False,False
32,128,0.002434694906696677,59342848,0.16160827250608273,False,False
32,256,0.004478912800550461,103669760,0.29591517857142857,False,False
32,78,0.0016950189601629972,42409984,0.10089661016949153,True,False
32,70,0.0015220820205286145,38626304,0.10025570776255707,True,False
32,65,0.0008479619864374399,18255872,0.061754237288135595,True,False
64,1,0.0004438479954842478,23969792,0.027201863354037268,False,False
64,2,0.0004648850008379668,24117248,0.028241635687732344,False,False
64,4,0.0004859449982177466,24903680,0.029411078717201167,False,False
64,8,0.0004509690043050796,17793536,0.029871956717763753,False,False
64,16,0.000505323987454176,19497472,0.03707882769075291,False,False
64,32,0.0008135269745253026,22642688,0.06413658536585366,False,False
64,64,0.0015787070151418447,32210944,0.10316719242902209,False,False
64,128,0.005823090206831694,76644352,0.38400581395348843,False,False
64,256,0.011474248953163624,138272768,0.7545454545454546,False,False
64,78,0.0034356419928371906,52953088,0.22661986301369863,True,False
64,70,0.003343614051118493,48088064,0.19805333333333333,True,False
64,65,0.001601370982825756,32342016,0.1154992,True,False
128,1,0.0006697889766655862,24412160,0.0399611780455154,False,False
128,2,0.0004514130123425275,17794048,0.026929151624548734,False,False
128,4,0.0005306720267981291,19497984,0.04175119363395225,False,False
128,8,0.0009307240252383053,22642688,0.07322604651162791,False,False
128,16,0.0015511380042880774,32210944,0.11317364341085272,False,False
128,32,0.003541371086612344,49381376,0.23171378091872794,False,False
128,64,0.007013329770416021,119316480,0.4616643356643357,False,False
128,128,0.02026967518031597,223518720,1.31416,False,False
128,256,0.04110283404588699,431923200,2.65108,False,False
128,78,0.012212402187287807,144187392,0.8084512195121952,True,False
128,70,0.011013610288500786,141303808,0.7296483516483516,True,False
128,65,0.006917579099535942,136519680,0.4572206896551724,True,False
224,1,0.00048193399561569095,18699776,0.03520192771084337,False,False
224,2,0.0006140419864095747,21308928,0.05266605279312462,False,False
224,4,0.001161435036920011,27377664,0.09098375870069605,False,False
224,8,0.0028220159001648426,41025536,0.16801126760563379,False,False
224,16,0.005369856022298336,68780032,0.35452941176470587,False,False
224,32,0.010650750249624252,174673920,0.708372340425532,False,False
224,64,0.020116617903113365,335904768,1.3249000000000002,False,False
224,128,0.059790924191474915,655458304,3.9338235294117645,False,False
224,256,0.12154461443424225,1292992512,8.173444444444446,False,False
224,78,0.03577795624732971,410918912,2.383892857142857,True,False
